source,target,community
Charles Ofria,Carlos Maestre,17
Charles Ofria,Westley Weimer,17
Charles Ofria,Frank Hutter,17
Charles Ofria,Simon Thibault,17
Charles Ofria,Sara Mitri,17
Charles Ofria,Anh Nguyen,17
Charles Ofria,Santiago Rodriguez Papa,17
Charles Ofria,Lee Altenberg,17
Charles Ofria,Laurent Keller,17
Charles Ofria,Christian Gagné,17
Charles Ofria,David Parsons,17
Charles Ofria,Carole Knibbe,17
Charles Ofria,Laura M. Grabowski,17
Charles Ofria,Richard Watson,17
Charles Ofria,Stephanie Forrest,17
Charles Ofria,Robert Feldt,17
Charles Ofria,Stephane Doncieux,17
Charles Ofria,Antoine Frénoy,17
Charles Ofria,Karl Sims,17
Charles Ofria,Dusan Misevic,17
Charles Ofria,François Taddei,17
Charles Ofria,Patryk Chrabaszcz,17
Charles Ofria,Hod Lipson,17
Charles Ofria,Fred C. Dyer,17
Charles Ofria,Eric Shulte,17
Charles Ofria,Nick Cheney,17
Charles Ofria,Robert T. Pennock,17
Charles Ofria,Christoph Adami,17
Charles Ofria,Peter Krcah,17
Charles Ofria,Thomas S. Ray,17
Charles Ofria,Stephan Fischer,17
Charles Ofria,David M. Bryson,17
Charles Ofria,Guillaume Beslon,17
Charles Ofria,Kai Olav Ellefsen,17
Charles Ofria,David E. Moriarty,17
Charles Ofria,Richard E. Lenski,17
Carlos Gershenson,Mikhail Prokopenko,72
Carlos Gershenson,Tom Lenaerts,72
Carlos Gershenson,Jitka Cejkova,72
Carlos Gershenson,Vito Trianni,72
Carlos Gershenson,Hiroki Sayama,72
Carlos Gershenson,Justin Werfel,72
Germán Kruszewski,Tomas Mikolov,79
Tomas Mikolov,Hugo Cisneros,81
Tomas Mikolov,Barbora Hudcova,81
Tomas Mikolov,Josef Sivic,81
Aymeric Vie,Alissa M. Kleinnijenhuis,90
Aymeric Vie,Doyne J. Farmer,90
Karol Gregor,Frederic Besse,82
Tatjana Škrbić,Achille Giacometti,84
Tatjana Škrbić,George D. Rose,84
Tatjana Škrbić,Jayanth R. Banavar,84
Tatjana Škrbić,Amos Maritan,84
Amos Maritan,Achille Giacometti,84
Amos Maritan,George D. Rose,84
Amos Maritan,Jayanth R. Banavar,84
Achille Giacometti,George D. Rose,84
Achille Giacometti,Jayanth R. Banavar,84
George D. Rose,Jayanth R. Banavar,84
Alissa M. Kleinnijenhuis,Doyne J. Farmer,90
Kristine Heiney,Gunnar Tufte,91
Anya E. Vostinar,Barbara Z. Johnson,95
Anya E. Vostinar,Kevin Connors,95
Barbara Z. Johnson,Kevin Connors,95
Matt Grove,Fiona Polack,63
Adrien Ecoffet,Jeff Clune,64
Jeff Clune,Marc Parizeau,17
Jeff Clune,Julie Beaulieu,17
Jeff Clune,William F. Punch,17
Jeff Clune,Kenneth O. Stanley,17
Jeff Clune,Samuel Bernard,17
Jeff Clune,Leni Le Goff,17
Jeff Clune,Marc Schoenauer,17
Jeff Clune,Risto Miikkulainen,17
Jeff Clune,Babak Hodjat,17
Jeff Clune,Danesh Tarapore,17
Jeff Clune,Antoine Cully,17
Jeff Clune,Robert MacCurdy,17
Jeff Clune,Jean-Baptiste Mouret,17
Jeff Clune,Jason Yosinski,17
Jeff Clune,Carlos Maestre,17
Jeff Clune,Westley Weimer,17
Jeff Clune,Frank Hutter,17
Jeff Clune,Simon Thibault,17
Jeff Clune,Sara Mitri,17
Jeff Clune,Anh Nguyen,17
Jeff Clune,Lee Altenberg,17
Jeff Clune,Laurent Keller,17
Jeff Clune,Christian Gagné,17
Jeff Clune,David Parsons,17
Jeff Clune,Carole Knibbe,17
Jeff Clune,Laura M. Grabowski,17
Jeff Clune,Richard Watson,17
Jeff Clune,Stephanie Forrest,17
Jeff Clune,Robert Feldt,17
Jeff Clune,Stephane Doncieux,17
Jeff Clune,Antoine Frénoy,17
Jeff Clune,Karl Sims,17
Jeff Clune,Dusan Misevic,17
Jeff Clune,François Taddei,17
Jeff Clune,Patryk Chrabaszcz,17
Jeff Clune,Hod Lipson,17
Jeff Clune,Fred C. Dyer,17
Jeff Clune,Eric Shulte,17
Jeff Clune,Nick Cheney,17
Jeff Clune,Robert T. Pennock,17
Jeff Clune,Christoph Adami,17
Jeff Clune,Peter Krcah,17
Jeff Clune,Thomas S. Ray,17
Jeff Clune,Stephan Fischer,17
Jeff Clune,David M. Bryson,17
Jeff Clune,Guillaume Beslon,17
Jeff Clune,Kai Olav Ellefsen,17
Jeff Clune,David E. Moriarty,17
Jeff Clune,Jay Chen,17
Jeff Clune,Richard E. Lenski,17
Tim Taylor,Mark A. Bedau,89
Tim Taylor,Steen Rasmussen,89
Tim Taylor,Kevin Korb,89
Tim Taylor,Kenneth O. Stanley,89
Tim Taylor,Norman Packard,89
Tim Taylor,Alan Dorin,89
Tim Taylor,Alastair Channon,89
Tim Taylor,Takashi Ikegami,89
Una-May O'Reilly,Marcos Pertierra,73
Una-May O'Reilly,Daniel Prado Sanchez,73
Una-May O'Reilly,Anthony Erb Luogo,73
Una-May O'Reilly,Dennis Garcia,73
Una-May O'Reilly,Erik Hemberg,73
Una-May O'Reilly,Jonathan Kelly,73
Una-May O'Reilly,Jamal Toutouh,73
Jamal Toutouh,Marcos Pertierra,73
Jamal Toutouh,Daniel Prado Sanchez,73
Jamal Toutouh,Anthony Erb Luogo,73
Jamal Toutouh,Dennis Garcia,73
Jamal Toutouh,Erik Hemberg,73
Jamal Toutouh,Jonathan Kelly,73
Marcos Pertierra,Daniel Prado Sanchez,73
Marcos Pertierra,Anthony Erb Luogo,73
Marcos Pertierra,Dennis Garcia,73
Marcos Pertierra,Erik Hemberg,73
Marcos Pertierra,Jonathan Kelly,73
Daniel Prado Sanchez,Anthony Erb Luogo,73
Daniel Prado Sanchez,Dennis Garcia,73
Daniel Prado Sanchez,Erik Hemberg,73
Daniel Prado Sanchez,Jonathan Kelly,73
Dennis Garcia,Anthony Erb Luogo,73
Dennis Garcia,Erik Hemberg,73
Dennis Garcia,Jonathan Kelly,73
Anthony Erb Luogo,Erik Hemberg,73
Anthony Erb Luogo,Jonathan Kelly,73
Jonathan Kelly,Erik Hemberg,73
Hugo Cisneros,Josef Sivic,81
Norman Packard,Mark A. Bedau,89
Norman Packard,Steen Rasmussen,89
Norman Packard,Kenneth O. Stanley,89
Norman Packard,Alastair Channon,89
Norman Packard,Takashi Ikegami,89
Mark A. Bedau,Steen Rasmussen,89
Mark A. Bedau,Kenneth O. Stanley,89
Mark A. Bedau,Alastair Channon,89
Mark A. Bedau,Takashi Ikegami,89
Alastair Channon,Steen Rasmussen,89
Alastair Channon,Kenneth O. Stanley,89
Alastair Channon,Takashi Ikegami,89
Takashi Ikegami,Martin Biehl,89
Takashi Ikegami,Nathaniel Virgo,89
Takashi Ikegami,Steen Rasmussen,89
Takashi Ikegami,Kenneth O. Stanley,89
Takashi Ikegami,Daniel Polani,89
Steen Rasmussen,Kenneth O. Stanley,89
Kenneth O. Stanley,Marc Parizeau,17
Kenneth O. Stanley,Julie Beaulieu,17
Kenneth O. Stanley,William F. Punch,17
Kenneth O. Stanley,Samuel Bernard,17
Kenneth O. Stanley,Leni Le Goff,17
Kenneth O. Stanley,Marc Schoenauer,17
Kenneth O. Stanley,Risto Miikkulainen,17
Kenneth O. Stanley,Babak Hodjat,17
Kenneth O. Stanley,Danesh Tarapore,17
Kenneth O. Stanley,Antoine Cully,17
Kenneth O. Stanley,Robert MacCurdy,17
Kenneth O. Stanley,Jean-Baptiste Mouret,17
Kenneth O. Stanley,Carlos Maestre,17
Kenneth O. Stanley,Westley Weimer,17
Kenneth O. Stanley,Jason Yosinski,17
Kenneth O. Stanley,Frank Hutter,17
Kenneth O. Stanley,Simon Thibault,17
Kenneth O. Stanley,Sara Mitri,17
Kenneth O. Stanley,Anh Nguyen,17
Kenneth O. Stanley,Lee Altenberg,17
Kenneth O. Stanley,Laurent Keller,17
Kenneth O. Stanley,Christian Gagné,17
Kenneth O. Stanley,David Parsons,17
Kenneth O. Stanley,Carole Knibbe,17
Kenneth O. Stanley,Laura M. Grabowski,17
Kenneth O. Stanley,Richard Watson,17
Kenneth O. Stanley,Stephanie Forrest,17
Kenneth O. Stanley,Robert Feldt,17
Kenneth O. Stanley,Stephane Doncieux,17
Kenneth O. Stanley,Antoine Frénoy,17
Kenneth O. Stanley,Karl Sims,17
Kenneth O. Stanley,Dusan Misevic,17
Kenneth O. Stanley,François Taddei,17
Kenneth O. Stanley,Patryk Chrabaszcz,17
Kenneth O. Stanley,Richard E. Lenski,17
Kenneth O. Stanley,Hod Lipson,17
Kenneth O. Stanley,Fred C. Dyer,17
Kenneth O. Stanley,Eric Shulte,17
Kenneth O. Stanley,Nick Cheney,17
Kenneth O. Stanley,Robert T. Pennock,17
Kenneth O. Stanley,Christoph Adami,17
Kenneth O. Stanley,Peter Krcah,17
Kenneth O. Stanley,Thomas S. Ray,17
Kenneth O. Stanley,Stephan Fischer,17
Kenneth O. Stanley,David M. Bryson,17
Kenneth O. Stanley,Guillaume Beslon,17
Kenneth O. Stanley,Kai Olav Ellefsen,17
Kenneth O. Stanley,David E. Moriarty,17
Kenneth O. Stanley,Jay Chen,17
David Kadish,Laura Beloff,92
David Kadish,Sebastian Risi,92
Sebastian Risi,Don Fussell,92
Sebastian Risi,Risto Miikkulainen,92
Sebastian Risi,Dan Lessin,92
Sebastian Risi,Laura Beloff,92
Vito Trianni,Hiroki Sayama,94
Vito Trianni,Justin Werfel,94
Justin Werfel,Hiroki Sayama,94
Yew-Soon Ong,Abhishek Gupta,2
Dennis G Wilson,Hervé Luga,4
Dennis G Wilson,Kyle Harrington,4
Dennis G Wilson,Sylvain Cussat-Blanc,4
Kyle Harrington,Sylvain Cussat-Blanc,4
Kyle Harrington,Hervé Luga,4
Sylvain Cussat-Blanc,Hervé Luga,4
Erik Aaron Hansen,Alex Alcocer,5
Erik Aaron Hansen,Hårek Haugerud,5
Erik Aaron Hansen,Anis Yazidi,5
Erik Aaron Hansen,Asieh Abolpour Mofrad,5
Anis Yazidi,Alex Alcocer,5
Anis Yazidi,Hårek Haugerud,5
Anis Yazidi,Asieh Abolpour Mofrad,5
Hårek Haugerud,Alex Alcocer,5
Hårek Haugerud,Asieh Abolpour Mofrad,5
Asieh Abolpour Mofrad,Alex Alcocer,5
Alan Dorin,Kevin Korb,42
Dusan Misevic,Marc Parizeau,17
Dusan Misevic,Julie Beaulieu,17
Dusan Misevic,William F. Punch,17
Dusan Misevic,Samuel Bernard,17
Dusan Misevic,Leni Le Goff,17
Dusan Misevic,Marc Schoenauer,17
Dusan Misevic,Risto Miikkulainen,17
Dusan Misevic,Babak Hodjat,17
Dusan Misevic,Danesh Tarapore,17
Dusan Misevic,Antoine Cully,17
