entity,genre
LaurelThirst Public House,blues
Laurelthirst Pub,blues
Arthur C. Lee,blues
Pete Lampe,blues
Dee Settlemier,blues
Pagan Jug Band,blues
Laurelthirst Public House,blues
Garret T. Willie,blues
Oregon Zoo,blues
Norman Sylvester Band,blues
Boogie Cat Horns,blues
Lenanne,blues
Seth Walker,blues
The Norman Sylvester Band,blues
Tony TC Coleman,blues
Connor Cushman,blues
Susannah Anders,blues
Henry Fortier,blues
Superplume,blues
Evan O’Kelly,blues
Waterfront Blues Festival,blues
Tom McCall Waterfront Park,blues
Lightning in a Bottle Records,blues
The White Eagle,blues
Bluesnik Organ Trio,blues
Blues Festival,blues
Soul'd Out Presents,blues
Waterfront Blues Afterparty,blues
Toody Cole,blues
Dan Eccles,blues
Alejandro Escovedo,blues
The Delines,blues
Freddy Trujillo,blues
Fernando Band,blues
Paul Brainard,blues
Luther Russell,blues
Tank and The Bangas,blues
Hailu Mergia,blues
Don Was and The Pan Detroit Ensemble,blues
Myrtle Brown,blues
Pete Moss,blues
Renato Caranto,blues
Nerak Roth Patterson,blues
Lenanne Sylvester Miller,blues
Tevis Hodge Jr.,blues
Dan Berkery,blues
Greg Hyatt,blues
Rose City Kings,blues
Okonski,blues
48 North Pizzeria,blues
Glitterfox,blues
Durand Jones and The Indications,blues
Paul Gilbert,blues
Rafael Tranquilino,blues
Quin Hanson,blues
Timmer,blues
Portland,blues
Downtown Portland,blues
Waterfront Park,blues
The Revivalists,blues
Portland Oregon,blues
Oregon,blues
The Record Company,blues
The Motet,blues
Curtis Salgado,blues
The Main Squeeze,blues
Fireworks,blues
Alen Stone,blues
Low Cut Connie,blues
Mel Brown,blues
Norman Sylvester,blues
Cymande,blues
Dead Moon,blues
Durand Jones & the Indications,blues
Chuck Prophet,blues
The Alberta Rose Theatre,blues
John Gorka,blues
Sawyer Fredericks,blues
McMenamins,blues
Elijah Rock,blues
Skamania County Fairgrounds,blues
Columbia Gorge,blues
Artichoke Music,blues
Nigel Wearne,blues
Ásgeir,blues
Oxbow Brewing Company,blues
Nick Cassarino,blues
The Nth Power,blues
Nikki Glaspie,blues
Nate Edgar,blues
Kala Performance Space,blues
Leon Cutter,blues
Arietta Ward,blues
Michael Elson,blues
Rose Festival CityFair,blues
Dante's,blues
Scott H. Biram,blues
Holly Humberstone,blues
The Black Keys,blues
Sierra Ferrell,blues
Edgefield,blues
Oxbow Live,blues
City of the Sun,blues
Zach Para,blues
John Pita,blues
Tim Langford,blues
Too Slim and the Taildraggers,blues
Jackie Straw,blues
Jeff Duffy,blues
THE TREE FROGS,blues
Metts Ryan & Collins,blues
Blind Stampede,blues
The Get Down,blues
BoomBox,blues
Yak Attack,blues
Elujay,blues
Tender Loving Empire,blues
Curtis Salgado Band,blues
Aladdin Theater,blues
Alice Phoebe Lou,blues
Portland Folk Music Society,blues
Bob Beach,blues
David Jacobs-Strain,blues
Reedwood Friends Church,blues
Mission Theater,blues
Fantastic Negrito,blues
The Object Heavy Band,blues
Starchild Jr.,blues
Dimitriou's Jazz Alley,blues
Highway 99 All Stars,blues
Marcelo Guitron Band,blues
Carole King,blues
Janis Joplin,blues
Michael Raynor,blues
Louis Armstrong,blues
Louis Jordan,blues
Eric Gruber,blues
Dmitri Matheny,blues
Dmitri Matheny Group,blues
Louis Prima,blues
Joe Bagg,blues
Adam Harris,blues
Vanessa Collier,blues
Jr.,blues
Tevis Hodge,blues
Louis Pain,blues
Peter Dammann,blues
Tony Coleman,blues
Chris Mercer,blues
John Mazzocco,blues
Mike Osborn,blues
Albert King,blues
BB King,blues
Freddie King,blues
Peninsula Arts Center,blues
Terry Robb,blues
Adam Scramstad,blues
Chris Duarte Group,blues
Jesse Roper,blues
The Showdown,blues
Charlie Hunter Trio,blues
Charlie Hunter,blues
Biamp Portland Jazz Festival,blues
Kaul Auditorium,blues
Luke Bergman,blues
Bill Frisell Trio,blues
Tim Angulo,blues
Bill Frisell,blues
SAEEDA WRIGHT,blues
McMenamins Kennedy School,blues
LaRhonda Steele,blues
Leah Hinchcliff,blues
Naomi LaViolette,blues
The Cider Janes,blues
Rachel Brashear,blues
Nadine Stanton,blues
The Shanghai Woolies,blues
Union Station,blues
Wilfs Restaurant & Bar,blues
Lenanne Miller,blues
SML,blues
ST VINCENT,blues
JUNGLE FIRE,blues
COCHEMEA,blues
BRANDON WOODY,blues
MADELEINE PEYROUX,blues
BILL FRISELL TRIO,blues
LADY BLACKBIRD,blues
SHELLY RUDOLPH,blues
DELBERT ANDERSON,blues
TIGRAN HAMASAYAN,blues
BLUE CRANES,blues
ROGER ENO,blues
MOHINI DEY,blues
SAM GREENFIELD,blues
STUMPTOWN SIRENS JAZZ ORCHESTRA,blues
ALAN JONES TRIO,blues
MONONEON,blues
MITCHUM YACOUB,blues
JEFF PARKER IVTet,blues
JARROD LAWSON,blues
FOAMBOY,blues
CYRUS CHESTNUT,blues
ISAIAH SHARKEY,blues
CHARLIE BROWN III,blues
CHARLIE HUNTER TRIO,blues
MAVIS STAPLES,blues
SHIRLEY NANETTE,blues
DRECKIG,blues
Ronnie Baker Brooks,blues
Oregon Music Hall Of Fame,blues
Magic Dick,blues
Steve Freund,blues
Anson Funderburgh,blues
RJ Mischo,blues
Mark Hummel,blues
Mark Steele,blues
The Portland Playhouse Studio,blues
Les Cleveland,blues
Sgt. Splendor,blues
Eric McFadden,blues
Kate Vargas,blues
Bad Assets,blues
Brooklyn Del and the Revelators,blues
Pati Rojas,blues
Cruise Control,blues
Laith & the Texas Birds,blues
The Black Mariah Theater,blues
Old Man of the Woods,blues
Strange & The Familiars,blues
Tangled Sheets,blues
Conor Byrne Pub,blues
Reb & the Good News,blues
Kendall Lujan,blues
Strange & the Familiars,blues
Whiskerman,blues
Sunstone Way,blues
Bart Budwig,blues
Greg Holden,blues
Crystal Ballroom,blues
